학교명,지역,학교 학생 수,동질화 지수(H_m),P_special,I_SCU,H_path,H_job,H_ppc,1위 업종,R_net,,,
대구용전초등학교,달서구,313,1.124255076,3.194888,0.963076,1,0.3515,0.4321,,-2.236421725,1.155975194,1.155975194,0.88305101
대구월암초등학교,달서구,1277,1.123563541,1.722788,0.967983,1,0.3515,0.4321,,5.090054816,0.851167598,1.227765833,1.35147039
대구방촌초등학교,동구,305,1.121473965,5.901639,0.942953,1,0.3499,0.4321,,-4.262295082,1.15876296,1.15876296,0.8812789789
대구태현초등학교,북구,312,1.120821391,3.846154,0.956897,1,0.3493,0.4321,,-1.923076923,1.154184472,1.154184472,0.8811630406
대구구암초등학교,북구,302,1.11955342,10.596026,0.934398,1,0.3493,0.4321,,-2.98013245,1.159228555,1.159228555,0.8802302362
대구도원초등학교,달서구,315,1.119263251,3.809524,0.961027,1,0.3515,0.4321,,-1.587301587,1.15140588,1.15140588,0.8807476892
북동중학교,달성군,209,1.116435182,3.827751,0.943212,0.208351,0.3487,0.4321,,-2.479338843,0.9607392909,0.9607392909,0.7168166493
대구달성초등학교,서구,536,1.109237349,4.850746,0.899272,1,0.3622,0.4321,,37.31343284,0.8250614723,0.8250614723,0.7633665221
성곡중학교,달서구,255,1.108056041,4.705882,0.958039,0.418379,0.3515,0.4321,,0.8227848101,0.9691578381,0.9691578381,0.7342958548
산격중학교,북구,240,1.102758883,7.5,0.944718,0.349535,0.3493,0.4321,,0.5465547531,0.95685644,0.95685644,0.7219258445
대구이곡초등학교,달서구,333,1.097211416,0.600601,0.971724,1,0.3515,0.4321,,-3.003003003,1.12585687,1.12585687,0.8710247485
대구성남초등학교,달서구,328,1.096197839,4.268293,0.959498,1,0.3515,0.4321,,-1.524390244,1.128090945,1.128090945,0.8702619469
대구대남초등학교,달서구,322,1.095579104,8.385093,0.945775,1,0.3515,0.4321,,-7.142857143,1.131201545,1.131201545,0.8696926282
군위고등학교,군위군,248,1.09210503,0,0.88137,0.693446,0.329,0.4321,,0.6116852985,1.039754726,1.039754726,0.7768718389
대구국제고등학교,북구,305,1.084861167,0,0.969718,0.769045,0.3493,0.4321,,0,1.051309051,1.051309051,0.806377219
천내중학교,달성군,243,1.083378366,6.584362,0.934023,0.365861,0.3487,0.4321,,0.1910219675,0.9494007599,0.9494007599,0.7177578112
대구성북초등학교,북구,332,1.08322635,5.421687,0.951646,1,0.3493,0.4321,,-3.915662651,1.116885224,1.116885224,0.8639914066
대구북중학교,북구,250,1.080308488,6.8,0.947051,0.247085,0.3493,0.4321,,0.5465547531,0.9202947558,0.9202947558,0.7005462076
대구학산초등학교,달서구,361,1.080050007,8.864266,0.944178,1,0.3515,0.4321,,1.939058172,1.063362253,1.063362253,0.8395720532
